ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
A0:memmgr, tlb_hits, , Accumulator, 147541000, 0, 15756, 15756, 15756, 1, 1
A0:memmgr, tlb_evicts, , Accumulator, 147541000, 0, 17713, 17713, 17713, 1, 1
A0:memmgr, tlb_translate_queries, , Accumulator, 147541000, 0, 37637, 37637, 37637, 1, 1
A0:memmgr, tlb_shootdown, , Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0:memmgr, tlb_page_allocs, , Accumulator, 147541000, 0, 72, 72, 72, 1, 1
A0, read_requests, 0, Accumulator, 147541000, 0, 24716, 24716, 24716, 1, 1
A0, write_requests, 0, Accumulator, 147541000, 0, 12841, 12841, 12841, 1, 1
A0, read_request_sizes, 0, Accumulator, 147541000, 0, 135301, 987065, 24716, 1, 64
A0, write_request_sizes, 0, Accumulator, 147541000, 0, 81977, 622171, 12841, 1, 64
A0, split_read_requests, 0, Accumulator, 147541000, 0, 2, 2, 2, 1, 1
A0, split_write_requests, 0, Accumulator, 147541000, 0, 6, 6, 6, 1, 1
A0, flush_requests, 0, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 0, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 0, Accumulator, 147541000, 0, 58036, 58036, 58036, 1, 1
A0, instruction_count, 0, Accumulator, 147541000, 0, 95593, 95593, 95593, 1, 1
A0, cycles, 0, Accumulator, 147541000, 0, 295082, 295082, 295082, 1, 1
A0, active_cycles, 0, Accumulator, 147541000, 0, 177304, 177304, 177304, 1, 1
A0, fp_sp_ins, 0, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 0, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 0, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 0, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 0, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 0, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 0, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 0, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, cycles, 1, Accumulator, 147541000, 0, 295081, 295081, 295081, 1, 1
A0, active_cycles, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ins, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_simd_ins, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_scalar_ins, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_sp_ops, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 1, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_requests, 2, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_requests, 2, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, read_request_sizes, 2, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, write_request_sizes, 2, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_read_requests, 2, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 2, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, flush_requests, 2, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, fence_requests, 2, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, no_ops, 2, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
A0, instruction_count, 2, Accumulator, 147541000, 0, 0, 0, 0, 0, 0
