ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
Node 0, tlb_hits, , Accumulator, 1998591000, 0, 73287, 73287, 73287, 1, 1
Node 0, tlb_evicts, , Accumulator, 1998591000, 0, 440110, 440110, 440110, 1, 1
Node 0, tlb_translate_queries, , Accumulator, 1998591000, 0, 517837, 517837, 517837, 1, 1
Node 0, tlb_shootdown, , Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, tlb_page_allocs, , Accumulator, 1998591000, 0, 344, 344, 344, 1, 1
Node 0, read_requests, 0, Accumulator, 1998591000, 0, 355064, 355064, 355064, 1, 1
Node 0, write_requests, 0, Accumulator, 1998591000, 0, 155794, 155794, 155794, 1, 1
Node 0, read_request_sizes, 0, Accumulator, 1998591000, 0, 1776806, 12716942, 355064, 1, 64
Node 0, write_request_sizes, 0, Accumulator, 1998591000, 0, 1029904, 8431000, 155794, 1, 64
Node 0, split_read_requests, 0, Accumulator, 1998591000, 0, 28, 28, 28, 1, 1
Node 0, split_write_requests, 0, Accumulator, 1998591000, 0, 64, 64, 64, 1, 1
Node 0, flush_requests, 0, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fence_requests, 0, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, no_ops, 0, Accumulator, 1998591000, 0, 971377, 971377, 971377, 1, 1
Node 0, instruction_count, 0, Accumulator, 1998591000, 0, 1482235, 1482235, 1482235, 1, 1
Node 0, cycles, 0, Accumulator, 1998591000, 0, 2100271, 2100271, 2100271, 1, 1
Node 0, active_cycles, 0, Accumulator, 1998591000, 0, 2053938, 2053938, 2053938, 1, 1
Node 0, fp_sp_ins, 0, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ins, 0, Accumulator, 1998591000, 0, 168, 168, 168, 1, 1
Node 0, fp_sp_simd_ins, 0, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_simd_ins, 0, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_scalar_ins, 0, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_scalar_ins, 0, Accumulator, 1998591000, 0, 168, 168, 168, 1, 1
Node 0, fp_sp_ops, 0, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ops, 0, Accumulator, 1998591000, 0, 168, 168, 168, 1, 1
Node 0, read_requests, 1, Accumulator, 1998591000, 0, 1249, 1249, 1249, 1, 1
Node 0, write_requests, 1, Accumulator, 1998591000, 0, 425, 425, 425, 1, 1
Node 0, read_request_sizes, 1, Accumulator, 1998591000, 0, 6720, 53440, 1249, 1, 64
Node 0, write_request_sizes, 1, Accumulator, 1998591000, 0, 3260, 32240, 425, 4, 64
Node 0, split_read_requests, 1, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, split_write_requests, 1, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, flush_requests, 1, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fence_requests, 1, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, no_ops, 1, Accumulator, 1998591000, 0, 3203, 3203, 3203, 1, 1
Node 0, instruction_count, 1, Accumulator, 1998591000, 0, 4877, 4877, 4877, 1, 1
Node 0, cycles, 1, Accumulator, 1998591000, 0, 2100270, 2100270, 2100270, 1, 1
Node 0, active_cycles, 1, Accumulator, 1998591000, 0, 7520, 7520, 7520, 1, 1
Node 0, fp_sp_ins, 1, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ins, 1, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_simd_ins, 1, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_simd_ins, 1, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_scalar_ins, 1, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_scalar_ins, 1, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_ops, 1, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ops, 1, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, read_requests, 2, Accumulator, 1998591000, 0, 895, 895, 895, 1, 1
Node 0, write_requests, 2, Accumulator, 1998591000, 0, 263, 263, 263, 1, 1
Node 0, read_request_sizes, 2, Accumulator, 1998591000, 0, 4729, 34771, 895, 1, 64
Node 0, write_request_sizes, 2, Accumulator, 1998591000, 0, 2020, 19184, 263, 4, 64
Node 0, split_read_requests, 2, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, split_write_requests, 2, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, flush_requests, 2, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fence_requests, 2, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, no_ops, 2, Accumulator, 1998591000, 0, 2836, 2836, 2836, 1, 1
Node 0, instruction_count, 2, Accumulator, 1998591000, 0, 3994, 3994, 3994, 1, 1
Node 0, cycles, 2, Accumulator, 1998591000, 0, 2100270, 2100270, 2100270, 1, 1
Node 0, active_cycles, 2, Accumulator, 1998591000, 0, 6145, 6145, 6145, 1, 1
Node 0, fp_sp_ins, 2, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ins, 2, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_simd_ins, 2, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_simd_ins, 2, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_scalar_ins, 2, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_scalar_ins, 2, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_ops, 2, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ops, 2, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, read_requests, 3, Accumulator, 1998591000, 0, 477, 477, 477, 1, 1
Node 0, write_requests, 3, Accumulator, 1998591000, 0, 101, 101, 101, 1, 1
Node 0, read_request_sizes, 3, Accumulator, 1998591000, 0, 2539, 15363, 477, 1, 16
Node 0, write_request_sizes, 3, Accumulator, 1998591000, 0, 780, 6128, 101, 4, 8
Node 0, split_read_requests, 3, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, split_write_requests, 3, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, flush_requests, 3, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fence_requests, 3, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, no_ops, 3, Accumulator, 1998591000, 0, 2133, 2133, 2133, 1, 1
Node 0, instruction_count, 3, Accumulator, 1998591000, 0, 2711, 2711, 2711, 1, 1
Node 0, cycles, 3, Accumulator, 1998591000, 0, 2100270, 2100270, 2100270, 1, 1
Node 0, active_cycles, 3, Accumulator, 1998591000, 0, 2934, 2934, 2934, 1, 1
Node 0, fp_sp_ins, 3, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ins, 3, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_simd_ins, 3, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_simd_ins, 3, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_scalar_ins, 3, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_scalar_ins, 3, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_ops, 3, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ops, 3, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, read_requests, 4, Accumulator, 1998591000, 0, 400, 400, 400, 1, 1
Node 0, write_requests, 4, Accumulator, 1998591000, 0, 101, 101, 101, 1, 1
Node 0, read_request_sizes, 4, Accumulator, 1998591000, 0, 2231, 14131, 400, 1, 16
Node 0, write_request_sizes, 4, Accumulator, 1998591000, 0, 780, 6128, 101, 4, 8
Node 0, split_read_requests, 4, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, split_write_requests, 4, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, flush_requests, 4, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fence_requests, 4, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, no_ops, 4, Accumulator, 1998591000, 0, 1667, 1667, 1667, 1, 1
Node 0, instruction_count, 4, Accumulator, 1998591000, 0, 2168, 2168, 2168, 1, 1
Node 0, cycles, 4, Accumulator, 1998591000, 0, 2100270, 2100270, 2100270, 1, 1
Node 0, active_cycles, 4, Accumulator, 1998591000, 0, 3000, 3000, 3000, 1, 1
Node 0, fp_sp_ins, 4, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ins, 4, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_simd_ins, 4, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_simd_ins, 4, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_scalar_ins, 4, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_scalar_ins, 4, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_ops, 4, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ops, 4, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, read_requests, 5, Accumulator, 1998591000, 0, 394, 394, 394, 1, 1
Node 0, write_requests, 5, Accumulator, 1998591000, 0, 101, 101, 101, 1, 1
Node 0, read_request_sizes, 5, Accumulator, 1998591000, 0, 2207, 14035, 394, 1, 16
Node 0, write_request_sizes, 5, Accumulator, 1998591000, 0, 780, 6128, 101, 4, 8
Node 0, split_read_requests, 5, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, split_write_requests, 5, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, flush_requests, 5, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fence_requests, 5, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, no_ops, 5, Accumulator, 1998591000, 0, 1631, 1631, 1631, 1, 1
Node 0, instruction_count, 5, Accumulator, 1998591000, 0, 2126, 2126, 2126, 1, 1
Node 0, cycles, 5, Accumulator, 1998591000, 0, 2100270, 2100270, 2100270, 1, 1
Node 0, active_cycles, 5, Accumulator, 1998591000, 0, 3732, 3732, 3732, 1, 1
Node 0, fp_sp_ins, 5, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ins, 5, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_simd_ins, 5, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_simd_ins, 5, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_scalar_ins, 5, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_scalar_ins, 5, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_ops, 5, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ops, 5, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, read_requests, 6, Accumulator, 1998591000, 0, 407, 407, 407, 1, 1
Node 0, write_requests, 6, Accumulator, 1998591000, 0, 101, 101, 101, 1, 1
Node 0, read_request_sizes, 6, Accumulator, 1998591000, 0, 2259, 14243, 407, 1, 16
Node 0, write_request_sizes, 6, Accumulator, 1998591000, 0, 780, 6128, 101, 4, 8
Node 0, split_read_requests, 6, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, split_write_requests, 6, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, flush_requests, 6, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fence_requests, 6, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, no_ops, 6, Accumulator, 1998591000, 0, 1709, 1709, 1709, 1, 1
Node 0, instruction_count, 6, Accumulator, 1998591000, 0, 2217, 2217, 2217, 1, 1
Node 0, cycles, 6, Accumulator, 1998591000, 0, 2100270, 2100270, 2100270, 1, 1
Node 0, active_cycles, 6, Accumulator, 1998591000, 0, 4121, 4121, 4121, 1, 1
Node 0, fp_sp_ins, 6, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ins, 6, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_simd_ins, 6, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_simd_ins, 6, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_scalar_ins, 6, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_scalar_ins, 6, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_ops, 6, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ops, 6, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, read_requests, 7, Accumulator, 1998591000, 0, 403, 403, 403, 1, 1
Node 0, write_requests, 7, Accumulator, 1998591000, 0, 101, 101, 101, 1, 1
Node 0, read_request_sizes, 7, Accumulator, 1998591000, 0, 2243, 14179, 403, 1, 16
Node 0, write_request_sizes, 7, Accumulator, 1998591000, 0, 780, 6128, 101, 4, 8
Node 0, split_read_requests, 7, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, split_write_requests, 7, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, flush_requests, 7, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fence_requests, 7, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, no_ops, 7, Accumulator, 1998591000, 0, 1685, 1685, 1685, 1, 1
Node 0, instruction_count, 7, Accumulator, 1998591000, 0, 2189, 2189, 2189, 1, 1
Node 0, cycles, 7, Accumulator, 1998591000, 0, 2100270, 2100270, 2100270, 1, 1
Node 0, active_cycles, 7, Accumulator, 1998591000, 0, 3722, 3722, 3722, 1, 1
Node 0, fp_sp_ins, 7, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ins, 7, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_simd_ins, 7, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_simd_ins, 7, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_scalar_ins, 7, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_scalar_ins, 7, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_sp_ops, 7, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fp_dp_ops, 7, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, read_requests, 8, Accumulator, 1998591000, 0, 477, 477, 477, 1, 1
Node 0, write_requests, 8, Accumulator, 1998591000, 0, 101, 101, 101, 1, 1
Node 0, read_request_sizes, 8, Accumulator, 1998591000, 0, 2539, 15363, 477, 1, 16
Node 0, write_request_sizes, 8, Accumulator, 1998591000, 0, 780, 6128, 101, 4, 8
Node 0, split_read_requests, 8, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, split_write_requests, 8, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, flush_requests, 8, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, fence_requests, 8, Accumulator, 1998591000, 0, 0, 0, 0, 0, 0
Node 0, no_ops, 8, Accumulator, 1998591000, 0, 2133, 2133, 2133, 1, 1
